county,type,id,name,lat,lng
Šibenik-Knin,campsite,camp-solaris,"Camp Solaris, Šibenik",43.699700,15.879400
Šibenik-Knin,campsite,camp-jezera-lovisca,Kamp Jezera Lovišća (Murter),43.791700,15.611100
Vukovar-Srijem,campsite,camp-dunav-ilok,Kamp Dunav (Ilok),45.221700,19.381400
Split-Dalmatia,island,brac-island,Brač Island,43.300000,16.650000
Split-Dalmatia,island,vis-island,Vis Island,43.040000,16.150000
Split-Dalmatia,mountain,biokovo-mountain,Biokovo Nature Park,43.341400,17.050600
Split-Dalmatia,campsite,camp-bunja-brac,Boutique Camping Bunja (Brač),43.375600,16.536900
Split-Dalmatia,campsite,camp-skrinja,"Camp Škrinja, Brač",43.283300,16.633300
Split-Dalmatia,campsite,camp-amadria-trogir,Camping Amadria Park Trogir,43.513300,16.216900
Split-Dalmatia,campsite,camp-belvedere-trogir,Kamp Belvedere (Seget Vranjica),43.518600,16.204200
Split-Dalmatia,campsite,camp-galeb-omis,Kamp Galeb (Omiš),43.439700,16.681100
Split-Dalmatia,campsite,camp-stobrec-split,Kamp Stobreč Split,43.501400,16.525600
Istria County,city,vrsar-town,Vrsar,45.151100,13.606700
Istria County,national_park,brijuni-np,Brijuni National Park,44.914200,13.758300
Istria County,campsite,camp-maravea,Aminess Planet Camping Maravea Resort,45.345800,13.541400
Istria County,campsite,camp-sirena-novigrad,Aminess Planet Camping Sirena,45.318300,13.576900
Istria County,campsite,camp-santa-marina,Boutique Campsite Santa Marina,45.286100,13.593600
Istria County,campsite,camp-bi-village,"Camp Bi Village, Fažana",44.928600,13.805300
Istria County,campsite,camp-polari,"Camp Polari, Rovinj",45.061700,13.671400
Istria County,campsite,camp-val-saline,Camp Val Saline,45.116900,13.631100
Istria County,campsite,camp-bijela-uvala,Camping Bijela Uvala,45.195600,13.596900
Istria County,campsite,camp-park-umag,Camping Park Umag,45.370600,13.546900
Istria County,campsite,camp-mon-perin,Camping Resort Mon Perin (Bale),45.011400,13.725300
Istria County,campsite,camp-banki-green,Campsite Banki Green Istrian Village,45.241100,13.765600
Istria County,campsite,camp-savudrija,Campsite Savudrija,45.486400,13.511100
Istria County,campsite,camp-vestar,Campsite Veštar (Rovinj),45.053100,13.681100
Istria County,campsite,camp-kanegra,FKK Naturist Campsite Kanegra,45.486400,13.563500
Istria County,campsite,camp-istra-funtana,Istra Premium Camping Resort (Funtana),45.176400,13.599100
Istria County,campsite,camp-valalta,Naturist Camping Valalta,45.121700,13.626400
Istria County,campsite,camp-polidor,Polidor Camping Resort,45.199100,13.597800
Istria County,campsite,camp-san-servolo,San Servolo Wellness Camping (Buje),45.414200,13.621100
Istria County,campsite,camp-lanterna,Valamar Camping Lanterna,45.299100,13.591100
Istria County,campsite,camp-marina-labin,Valamar Camping Marina (Labin),45.025600,14.161100
Istria County,nature,istrian-truffles,Buzet & Truffle Country,45.411400,13.961100
Istria County,nature,limski-kanal,Lim Fjord,45.131100,13.633300
Istria County,landmark,groznjan-village,Grožnjan Artists Village,45.378300,13.720800
Dubrovnik-Neretva,national_park,mljet-np,Mljet National Park,42.781700,17.381400
Dubrovnik-Neretva,island,lastovo-island,Lastovo Island,42.750000,16.900000
Dubrovnik-Neretva,island,mljet-island,Mljet Island,42.750000,17.530000
Dubrovnik-Neretva,river,neretva-delta,Neretva River Delta,43.011100,17.531100
Dubrovnik-Neretva,campsite,camp-solitudo-dubrovnik,"Camp Solitudo, Dubrovnik",42.661700,18.071100
Dubrovnik-Neretva,campsite,camp-lavanda-orebic,Kamp Lavanda (Orebić),42.981100,17.151100
Dubrovnik-Neretva,campsite,camp-lupis-loviste,Kamp Lupis (Lovište),43.023300,17.031400
Dubrovnik-Neretva,campsite,camp-nevio-orebic,Kamp Nevio (Orebić),42.983300,17.161100
Dubrovnik-Neretva,nature,konavle-valley,Konavle Valley,42.550000,18.350000
Dubrovnik-Neretva,nature,peljesac-peninsula,Pelješac Peninsula,42.930000,17.380000
Međimurje County,campsite,camp-toplice-svetimartin,Kamp Toplice Sveti Martin,46.505600,16.368300
Međimurje County,nature,medimurje-wine,Međimurje Wine Road,46.450000,16.320000
Međimurje County,nature,sveti-martin-spa,Sveti Martin on the Mura,46.502200,16.365300
